scenario_name,replicate_id,c_index,duration_sec,ghost_estimator,survival_model,error,variable,relevance_score,relevance_rank
Linear_Corr_RSF_RFGhost,3,0.8248477186530284,0.9042530059814453,rf,rsf,,X5,11.323567875282302,5
Linear_Corr_RSF_RFGhost,4,0.7699466435041569,0.8556711673736572,rf,rsf,,X1,1049.9723448931516,3
Linear_Corr_RSF_RFGhost,4,0.7699466435041569,0.8556711673736572,rf,rsf,,X2,1347.1114089207383,2
Linear_Corr_RSF_RFGhost,4,0.7699466435041569,0.8556711673736572,rf,rsf,,X3,1723.8918342477798,1
Linear_Corr_RSF_RFGhost,4,0.7699466435041569,0.8556711673736572,rf,rsf,,X4,47.72435753193616,4
Linear_Corr_RSF_RFGhost,4,0.7699466435041569,0.8556711673736572,rf,rsf,,X5,8.116268756279329,5
Linear_Corr_RSF_RFGhost,5,0.8614969135802469,0.7694740295410156,rf,rsf,,X1,982.4549616035725,2
Linear_Corr_RSF_RFGhost,5,0.8614969135802469,0.7694740295410156,rf,rsf,,X2,1034.9373307814585,1
Linear_Corr_RSF_RFGhost,5,0.8614969135802469,0.7694740295410156,rf,rsf,,X3,700.4322818591096,3
Linear_Corr_RSF_RFGhost,5,0.8614969135802469,0.7694740295410156,rf,rsf,,X4,24.69346716214596,5
Linear_Corr_RSF_RFGhost,5,0.8614969135802469,0.7694740295410156,rf,rsf,,X5,47.9189327139842,4
Linear_Corr_RSF_RFGhost,6,0.8265835929387332,0.7328848838806152,rf,rsf,,X1,1442.046397326178,2
Linear_Corr_RSF_RFGhost,6,0.8265835929387332,0.7328848838806152,rf,rsf,,X2,1144.9586476243994,3
Linear_Corr_RSF_RFGhost,6,0.8265835929387332,0.7328848838806152,rf,rsf,,X3,1682.0454175837358,1
Linear_Corr_RSF_RFGhost,6,0.8265835929387332,0.7328848838806152,rf,rsf,,X4,51.978097234002796,4
Linear_Corr_RSF_RFGhost,6,0.8265835929387332,0.7328848838806152,rf,rsf,,X5,7.117494517793965,5
Linear_Corr_RSF_RFGhost,7,0.8005215123859192,0.7370975017547607,rf,rsf,,X1,1801.813854046574,1
Linear_Corr_RSF_RFGhost,7,0.8005215123859192,0.7370975017547607,rf,rsf,,X2,1570.5122755873024,2
Linear_Corr_RSF_RFGhost,7,0.8005215123859192,0.7370975017547607,rf,rsf,,X3,371.90872634928166,3
Linear_Corr_RSF_RFGhost,7,0.8005215123859192,0.7370975017547607,rf,rsf,,X4,67.796581600936,4
Linear_Corr_RSF_RFGhost,7,0.8005215123859192,0.7370975017547607,rf,rsf,,X5,16.936303626013874,5
Linear_Corr_RSF_RFGhost,8,0.8471890328260596,0.7456173896789551,rf,rsf,,X1,822.2198143991925,2
Linear_Corr_RSF_RFGhost,8,0.8471890328260596,0.7456173896789551,rf,rsf,,X2,2128.564953525478,1
Linear_Corr_RSF_RFGhost,8,0.8471890328260596,0.7456173896789551,rf,rsf,,X3,597.4989712044728,3
Linear_Corr_RSF_RFGhost,8,0.8471890328260596,0.7456173896789551,rf,rsf,,X4,10.088908105307697,5
Linear_Corr_RSF_RFGhost,8,0.8471890328260596,0.7456173896789551,rf,rsf,,X5,10.090524045849591,4
Linear_Corr_RSF_RFGhost,9,0.869341046277666,0.758446216583252,rf,rsf,,X1,1317.6051470325879,1
Linear_Corr_RSF_RFGhost,9,0.869341046277666,0.758446216583252,rf,rsf,,X2,1032.660648020146,3
Linear_Corr_RSF_RFGhost,9,0.869341046277666,0.758446216583252,rf,rsf,,X3,1118.1234973710993,2
Linear_Corr_RSF_RFGhost,9,0.869341046277666,0.758446216583252,rf,rsf,,X4,26.483636070470467,4
Linear_Corr_RSF_RFGhost,9,0.869341046277666,0.758446216583252,rf,rsf,,X5,6.286174433390058,5
Linear_Corr_RSF_RFGhost,10,0.8591293047433398,0.717266321182251,rf,rsf,,X1,1420.9473304296716,1
Linear_Corr_RSF_RFGhost,10,0.8591293047433398,0.717266321182251,rf,rsf,,X2,1231.8783225661402,2
Linear_Corr_RSF_RFGhost,10,0.8591293047433398,0.717266321182251,rf,rsf,,X3,378.07230232693234,3
Linear_Corr_RSF_RFGhost,10,0.8591293047433398,0.717266321182251,rf,rsf,,X4,44.19415276502063,4
Linear_Corr_RSF_RFGhost,10,0.8591293047433398,0.717266321182251,rf,rsf,,X5,13.616547047030565,5
Linear_Corr_RSF_RFGhost,11,0.8396167724275228,0.7556271553039551,rf,rsf,,X1,2506.1428099411346,1
Linear_Corr_RSF_RFGhost,11,0.8396167724275228,0.7556271553039551,rf,rsf,,X2,955.5754039130034,2
Linear_Corr_RSF_RFGhost,11,0.8396167724275228,0.7556271553039551,rf,rsf,,X3,695.2077492897741,3
Linear_Corr_RSF_RFGhost,11,0.8396167724275228,0.7556271553039551,rf,rsf,,X4,48.753494618966414,4
Linear_Corr_RSF_RFGhost,11,0.8396167724275228,0.7556271553039551,rf,rsf,,X5,4.865903725489613,5
Linear_Corr_RSF_RFGhost,12,0.7981984236206681,0.8432753086090088,rf,rsf,,X1,2083.1028981809,2
Linear_Corr_RSF_RFGhost,12,0.7981984236206681,0.8432753086090088,rf,rsf,,X2,2126.1815057605495,1
Linear_Corr_RSF_RFGhost,12,0.7981984236206681,0.8432753086090088,rf,rsf,,X3,599.4289244932093,3
Linear_Corr_RSF_RFGhost,12,0.7981984236206681,0.8432753086090088,rf,rsf,,X4,63.87256145780927,4
Linear_Corr_RSF_RFGhost,12,0.7981984236206681,0.8432753086090088,rf,rsf,,X5,18.434648741336932,5
Linear_Corr_RSF_RFGhost,13,0.8207297058452215,0.8326718807220459,rf,rsf,,X1,1272.6637771400713,1
Linear_Corr_RSF_RFGhost,13,0.8207297058452215,0.8326718807220459,rf,rsf,,X2,1120.1688119466246,2
Linear_Corr_RSF_RFGhost,13,0.8207297058452215,0.8326718807220459,rf,rsf,,X3,580.9020824248242,3
Linear_Corr_RSF_RFGhost,13,0.8207297058452215,0.8326718807220459,rf,rsf,,X4,29.64712007786639,5
Linear_Corr_RSF_RFGhost,13,0.8207297058452215,0.8326718807220459,rf,rsf,,X5,36.18311034823678,4
Linear_Corr_RSF_RFGhost,14,0.8075189753320683,0.8892521858215332,rf,rsf,,X1,1375.0027349107543,1
Linear_Corr_RSF_RFGhost,14,0.8075189753320683,0.8892521858215332,rf,rsf,,X2,809.5162520331377,2
Linear_Corr_RSF_RFGhost,14,0.8075189753320683,0.8892521858215332,rf,rsf,,X3,402.0621813647659,3
Linear_Corr_RSF_RFGhost,14,0.8075189753320683,0.8892521858215332,rf,rsf,,X4,127.11363533648502,4
Linear_Corr_RSF_RFGhost,14,0.8075189753320683,0.8892521858215332,rf,rsf,,X5,4.221936454138064,5
Linear_Corr_RSF_RFGhost,15,0.7939501328945703,0.7880594730377197,rf,rsf,,X1,770.5420267631434,2
